state,year,keyword,raw_svi,scaled_svi
US-AL,2010,Common Core,0.0,0.0
US-AL,2011,Common Core,3.9166666666666665,1.8016666666666667
US-AL,2012,Common Core,19.916666666666668,9.161666666666667
US-AL,2013,Common Core,52.0,23.92
US-AL,2014,Common Core,63.25,29.095000000000002
US-AL,2015,Common Core,48.75,22.425
US-AL,2016,Common Core,32.25,14.835
US-AL,2017,Common Core,22.083333333333332,10.158333333333333
US-AL,2018,Common Core,18.083333333333332,8.318333333333333
US-AL,2019,Common Core,16.916666666666668,7.781666666666667
US-AL,2020,Common Core,10.666666666666666,4.906666666666666
US-AL,2021,Common Core,4.666666666666667,2.146666666666667
US-AL,2022,Common Core,5.166666666666667,2.376666666666667
US-AL,2023,Common Core,5.5,2.5300000000000002
US-AL,2024,Common Core,4.5,2.0700000000000003
US-AK,2010,Common Core,0.0,0.0
US-AK,2011,Common Core,1.9166666666666667,0.6133333333333334
US-AK,2012,Common Core,15.666666666666666,5.013333333333334
US-AK,2013,Common Core,50.333333333333336,16.10666666666667
US-AK,2014,Common Core,60.166666666666664,19.253333333333334
US-AK,2015,Common Core,53.666666666666664,17.173333333333332
US-AK,2016,Common Core,33.666666666666664,10.773333333333333
US-AK,2017,Common Core,19.916666666666668,6.373333333333334
US-AK,2018,Common Core,15.083333333333334,4.826666666666667
US-AK,2019,Common Core,16.833333333333332,5.386666666666667
US-AK,2020,Common Core,11.583333333333334,3.706666666666667
US-AK,2021,Common Core,0.0,0.0
US-AK,2022,Common Core,4.0,1.28
US-AK,2023,Common Core,0.0,0.0
US-AK,2024,Common Core,1.3333333333333333,0.42666666666666664
US-AZ,2010,Common Core,0.3333333333333333,0.1433333333333333
US-AZ,2011,Common Core,9.0,3.87
US-AZ,2012,Common Core,32.666666666666664,14.046666666666665
US-AZ,2013,Common Core,60.75,26.1225
US-AZ,2014,Common Core,65.25,28.0575
US-AZ,2015,Common Core,56.083333333333336,24.115833333333335
US-AZ,2016,Common Core,36.333333333333336,15.623333333333335
US-AZ,2017,Common Core,24.666666666666668,10.606666666666667
US-AZ,2018,Common Core,18.833333333333332,8.098333333333333
US-AZ,2019,Common Core,15.333333333333334,6.593333333333334
US-AZ,2020,Common Core,10.166666666666666,4.371666666666666
US-AZ,2021,Common Core,5.166666666666667,2.2216666666666667
US-AZ,2022,Common Core,6.166666666666667,2.651666666666667
US-AZ,2023,Common Core,6.0,2.58
US-AZ,2024,Common Core,5.333333333333333,2.293333333333333
US-AR,2010,Common Core,0.0,0.0
US-AR,2011,Common Core,36.666666666666664,24.2
US-AR,2012,Common Core,67.83333333333333,44.769999999999996
US-AR,2013,Common Core,73.41666666666667,48.455000000000005
US-AR,2014,Common Core,75.66666666666667,49.940000000000005
US-AR,2015,Common Core,60.0,39.6
US-AR,2016,Common Core,30.583333333333332,20.185
US-AR,2017,Common Core,18.583333333333332,12.265
US-AR,2018,Common Core,13.666666666666666,9.02
US-AR,2019,Common Core,10.5,6.930000000000001
US-AR,2020,Common Core,7.0,4.62
US-AR,2021,Common Core,3.0,1.98
US-AR,2022,Common Core,4.25,2.805
US-AR,2023,Common Core,3.5,2.31
US-AR,2024,Common Core,3.1666666666666665,2.09
US-CA,2010,Common Core,1.0833333333333333,0.5308333333333333
US-CA,2011,Common Core,3.5,1.7149999999999999
US-CA,2012,Common Core,13.0,6.37
US-CA,2013,Common Core,44.0,21.56
US-CA,2014,Common Core,69.08333333333333,33.85083333333333
US-CA,2015,Common Core,52.833333333333336,25.888333333333335
US-CA,2016,Common Core,37.75,18.4975
US-CA,2017,Common Core,29.166666666666668,14.291666666666668
US-CA,2018,Common Core,24.583333333333332,12.045833333333333
US-CA,2019,Common Core,21.75,10.6575
US-CA,2020,Common Core,15.083333333333334,7.390833333333333
US-CA,2021,Common Core,6.916666666666667,3.3891666666666667
US-CA,2022,Common Core,11.666666666666666,5.716666666666666
US-CA,2023,Common Core,10.916666666666666,5.349166666666666
US-CA,2024,Common Core,9.333333333333334,4.573333333333333
US-CO,2010,Common Core,1.5833333333333333,0.5066666666666666
